SIC07 description	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Agriculture and hunting	385	532	631	704	613	552	633	563	529	602	479	300	501	528	428	475	504	503	523	611
Forestry and logging	9	9	7	9	9	9	7	7	8	9	8	9	14	12	16	12	8	8	9	10
Fishing and aquaculture	37	32	37	39	36	33	30	23	20	25	22	22	29	45	49	56	57	57	47	47
Agriculture, forestry and fishing	418	569	671	748	653	589	668	594	558	637	509	330	544	583	489	540	567	565	579	669
Mining and quarrying, excluding support activities	114	129	136	172	204	206	215	236	272	245	186	152	161	150	139	192	205	219	219	214
Mining support service activities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
Mining and quarrying	114	129	136	172	204	206	215	236	272	245	186	152	161	150	139	192	206	220	219	215
Manufacture of food products	379	412	436	398	389	501	483	524	511	520	519	489	669	619	710	873	967	1,278	1,118	1,124
Manufacture of beverages and tobacco products	1,486	1,267	1,224	1,135	1,161	1,138	1,030	1,046	922	869	932	1,058	1,006	822	884	764	735	813	571	222
Manufacture of food, beverages and tobacco	1,571	1,443	1,436	1,325	1,335	1,442	1,345	1,405	1,291	1,263	1,311	1,373	1,505	1,314	1,461	1,549	1,625	2,012	1,689	1,346
Manufacture of textiles	364	371	342	301	276	192	184	177	167	163	149	146	130	132	128	101	103	109	108	124
Manufacture of wearing apparel	325	315	281	218	194	198	117	97	116	103	117	144	191	210	163	94	78	80	82	80
Manufacture of leather products	16	15	14	11	7	5	2	2	2	2	2	2	2	2	1	2	2	2	1	1
Manufacture of textiles, wearing apparel and leather	753	749	680	565	510	422	315	287	295	278	278	300	317	338	289	199	183	191	191	206
Manufacture of wood products, except furniture	145	131	150	137	151	173	196	203	194	201	199	155	139	119	106	98	108	127	119	122
Manufacture of paper products	115	108	119	105	107	119	119	139	140	161	164	142	112	100	109	122	121	145	146	155
Printing and reproduction of recorded media	68	62	69	65	67	70	67	75	75	79	85	78	75	76	76	85	78	85	81	82
Manufacture of wood and paper products and printing	327	301	338	307	322	357	373	409	403	434	443	374	322	293	291	305	307	358	347	359
Manufacture of coke, refined petroleum and chemicals	213	224	214	220	190	195	198	203	230	253	258	189	173	195	204	222	255	278	234	241
Manufacture of pharmaceutical products	146	135	158	134	143	139	155	167	183	172	232	300	292	275	255	284	241	303	305	249
Manufacture of pharmaceutical products	146	135	158	134	143	139	155	167	183	172	232	300	292	275	255	284	241	303	305	249
Manufacture of rubber and plastic products	271	277	314	307	308	366	443	447	492	413	398	315	313	287	285	296	343	327	280	249
Manufacture of other non-metallic mineral products	168	194	204	203	209	242	298	333	337	341	364	354	379	312	270	259	261	224	264	296
Manufacture of rubber, plastic and non-metallic minerals 	426	460	504	498	505	592	723	763	809	740	751	662	682	593	554	555	607	555	544	546
Manufacture of basic metals	26	31	31	44	33	27	33	34	26	29	24	21	27	44	43	47	41	38	37	40
Manufacture of fabricated metal products	314	357	386	458	439	380	404	483	495	498	480	386	370	350	348	377	377	474	437	451
Manufacture of basic and fabricated metal products	339	388	415	504	468	403	434	514	518	525	501	405	393	392	390	422	417	512	473	491
Manufacture of computer, electronic and optical products	211	272	346	325	256	229	227	208	231	223	224	265	276	274	303	306	310	331	281	260
Manufacture of electrical equipment	128	136	184	181	148	180	193	205	231	237	268	194	245	254	271	248	224	209	200	214
Manufacture of machinery and equipment	150	149	168	189	219	215	234	231	279	312	337	210	269	299	340	345	389	362	366	433
Manufacture of motor vehicles	173	192	190	165	157	159	156	197	165	174	186	166	195	212	263	264	222	271	257	219
Manufacture of other transport equipment	181	194	192	200	166	148	147	147	178	180	219	291	332	308	333	352	290	350	359	397
